#####
thunder01
MB_CPU_IN_TEMP   | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
MB_ETH_TEMP      | 34.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
SYS_FAN3         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
SYS_FAN4         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
SYS_FAN1         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
SYS_FAN2         | 4350.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
PS1_Status       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PS2_Status       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PSU1_HOTSPOT     | 45.000     | degrees C  | ok    | -128.000  | 0.000     | 0.000     | 67.000    | 70.000    | 127.000   
PSU2_HOTSPOT     | 43.000     | degrees C  | ok    | -128.000  | 0.000     | 0.000     | 67.000    | 70.000    | 127.000   
